AC_Name,AC_No,Type,District,Winning_Candidate,Party,Total_Electors,Total Votes,Poll_percent,Margin,Margin_percent
Sathupalli,116,SC,Khammam,Sandra Venkata Veeraiah,Telugu Desam,204921,196609,95.90%,19002,9.70%
Secunderabad,70,GEN,Hyderabad,T.Padma Rao,Telangana Rashtra Samithi,239790,130197,54.30%,45470,34.90%
Secunderabad Cantt.,71,SC,Hyderabad,G. Sayanna,Telangana Rashtra Samithi,251970,116144,46.10%,37563,32.30%
Serilingampally,52,GEN,Rangareddi,Arekapudi Gandhi,Telangana Rashtra Samithi,481812,276168,57.30%,44295,16.00%
Shadnagar,84,GEN,Mahbubnagar,Anjaiah Yelganamoni,Telangana Rashtra Samithi,161443,164618,102.00%,20425,12.40%
Siddipet,33,GEN,Medak,Thanneeru Harish Rao,Telangana Rashtra Samithi,197405,164123,83.10%,118699,72.30%
Sircilla,29,GEN,Karimnagar,Kalvakuntla Taraka Rama Rao,Telangana Rashtra Samithi,182150,174309,95.70%,89009,51.10%
Sirpur,1,GEN,Adilabad,Koneru Konappa,Telangana Rashtra Samithi,170164,162709,95.60%,24036,14.80%
Suryapet,91,GEN,Nalgonda,Guntakandla Jagadish Reddy,Telangana Rashtra Samithi,178999,183012,102.20%,5967,3.30%
Tandur,56,GEN,Rangareddi,Rohith Reddy,Indian National Congress,202084,155649,77.00%,2875,1.80%
Thungathurthy,96,SC,Nalgonda,Gadari Kishore Kumar,Telangana Rashtra Samithi,207887,198430,95.50%,1847,0.90%
Uppal,47,GEN,Rangareddi,Bethi Subhas Reddy,Telangana Rashtra Samithi,464875,225187,48.40%,48168,21.40%
Vemulawada,28,GEN,Karimnagar,Ramesh Chennamaneni,Telangana Rashtra Samithi,167490,153625,91.70%,28186,18.30%
Vikarabad,55,SC,Rangareddi,Dr. Anand Methuku,Telangana Rashtra Samithi,204629,150420,73.50%,3092,2.10%
Wanaparthy,78,GEN,Mahbubnagar,Singireddy Niranjan Reddy,Telangana Rashtra Samithi,197814,183633,92.80%,51685,28.10%
Wardhanapet,107,SC,Warangal,Aroori Ramesh,Telangana Rashtra Samithi,215898,183405,84.90%,99240,54.10%
Warangal East,106,GEN,Warangal,Narendar Nannapuneni,Telangana Rashtra Samithi,220888,152861,69.20%,28782,18.80%
Warangal West,105,GEN,Warangal,Dasyam Vinay Bhasker,Telangana Rashtra Samithi,250617,139589,55.70%,36451,26.10%
Wyra,115,ST,Khammam,Lavudya Ramulu,Independent,165119,155484,94.20%,2013,1.30%
Yakutpura,68,GEN,Hyderabad,Syed Ahmed Pasha Quadri,All India Majlis-E-Ittehadul Muslimeen,305131,141040,46.20%,46978,33.30%
Yellandu,111,ST,Khammam,Haripriya Banoth,Indian National Congress,181425,162556,89.60%,2887,1.80%
Yellareddy,15,GEN,Nizamabad,Jajala Surender,Indian National Congress,174542,166263,95.30%,35148,21.10%
Zahirabad,38,SC,Medak,Koninty Manik Rao,Telangana Rashtra Samithi,196511,187015,95.20%,34473,18.40%
